Provincia;Latitud;Longitud;Edad Aprox.;Sexo;Motivo Desaparción;Motivo Desaparción Obs.;Fecha Desaparición;Situación Actual;Fecha Localización
PICHINCHA;-0,311577272;-78,4725501;22;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;06/03/2022;ENCONTRADO;19/03/2022
SANTA ELENA;-1,825858812;-80,75281771;29;HOMBRE;PROBLEMAS PSICOLÓGICOS;PROBLEMAS DE CONDUCTA;30/03/2022;ENCONTRADO;20/06/2022
MANABI;-1,073481933;-80,49698236;34;HOMBRE;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;05/10/2022;ENCONTRADO;08/12/2022
CAÑAR;-2,7275241;-78,8430161;15;HOMBRE;SIN_DATO;SIN_DATO;05/11/2022;DESAPARECIDO;SIN_DATO
CAÑAR;-2,733733941;-78,8371181;40;HOMBRE;SIN_DATO;SIN_DATO;15/02/2022;DESAPARECIDO;SIN_DATO
IMBABURA;0,3454091;-78,1204325;34;MUJER;EXTRAVIADA;PERSONA EXTRAVIADA;23/04/2022;ENCONTRADO;24/04/2022
PICHINCHA;-0,3165028;-78,3938765;45;MUJER;PROBLEMAS SOCIALES;ALCOHOLISMO;11/06/2022;ENCONTRADO;20/06/2022
AZUAY;-2,894552545;-79,00132085;23;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;18/01/2022;ENCONTRADO;25/03/2022
GUAYAS;-2,1100989;-79,9907739;14;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;16/03/2022;ENCONTRADO;21/06/2022
EL ORO;-3,2581112;-79,9553924;15;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;26/09/2022;ENCONTRADO;27/09/2022
MANABI;-0,3316551;-79,6052884;6;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;10/01/2022;ENCONTRADO;12/02/2022
SANTO DOMINGO DE LOS TSACHILAS;-0,237463506;-79,16411991;64;HOMBRE;SIN_DATO;SIN_DATO;19/05/2022;DESAPARECIDO;SIN_DATO
PICHINCHA;-0,2721672;-78,5549333;13;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;12/06/2022;ENCONTRADO;14/06/2022
PICHINCHA;-0,1802842;-78,4785851;34;HOMBRE;SIN_DATO;SIN_DATO;04/10/2022;DESAPARECIDO;SIN_DATO
CARCHI;0,811788979;-77,71974598;12;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;16/10/2022;ENCONTRADO;17/10/2022
CARCHI;0,811788979;-77,71974598;11;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;16/10/2022;ENCONTRADO;17/10/2022
PICHINCHA;-0,10669885;-78,51202971;22;HOMBRE;PROBLEMAS SOCIALES;DROGADICCION;15/10/2022;ENCONTRADO;17/10/2022
ESMERALDAS;0,608020543;-80,02216073;25;HOMBRE;SIN_DATO;SIN_DATO;01/03/2022;DESAPARECIDO;SIN_DATO
PICHINCHA;-0,242900121;-78,49731445;15;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;18/09/2022;ENCONTRADO;23/09/2022
MANABI;-1,054213173;-80,45282409;39;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;03/05/2022;ENCONTRADO;07/06/2022
PICHINCHA;-0,237371011;-78,53904532;16;MUJER;SIN_DATO;SIN_DATO;11/08/2022;DESAPARECIDO;SIN_DATO
ESMERALDAS;0,928151877;-79,67555374;14;MUJER;SIN_DATO;SIN_DATO;26/10/2022;DESAPARECIDO;SIN_DATO
CARCHI;0,581673628;-77,82243316;8;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;23/10/2022;ENCONTRADO;31/10/2022
PICHINCHA;-0,2142238;-78,5107083;22;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;11/03/2022;ENCONTRADO;13/03/2022
BOLIVAR;-1,705530253;-79,04279259;40;MUJER;PROBLEMAS FAMILIARES;PROBLEMAS SENTIMENTALES;10/08/2022;ENCONTRADO;04/10/2022
IMBABURA;0,3458862;-78,1232426;51;MUJER;SIN_DATO;SIN_DATO;14/04/2022;DESAPARECIDO;SIN_DATO
LOJA;-4,0199978;-79,2246726;15;MUJER;SIN_DATO;SIN_DATO;16/10/2022;DESAPARECIDO;SIN_DATO
LOS RIOS;-1,793573755;-79,53608034;24;HOMBRE;FALLECIDO;NO DETERMINADA;01/05/2022;FALLECIDO;04/05/2022
EL ORO;-3,4763823;-80,2225448;60;HOMBRE;SIN_DATO;SIN_DATO;26/03/2022;DESAPARECIDO;SIN_DATO
NAPO;-0,970130269;-77,8192645;11;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;13/12/2022;ENCONTRADO;18/12/2022
PICHINCHA;-0,1235333;-78,5048458;68;HOMBRE;PROBLEMAS PSICOLÓGICOS;BIPOLARIDAD;20/12/2022;ENCONTRADO;21/12/2022
GUAYAS;-2,171775019;-79,83010069;2;MUJER;SIN_DATO;SIN_DATO;28/03/2022;DESAPARECIDO;SIN_DATO
PICHINCHA;-0,1287339;-78,514259;24;HOMBRE;PROBLEMAS SOCIALES;DROGADICCION;07/06/2022;ENCONTRADO;22/10/2022
COTOPAXI;-0,9411949;-79,2316042;11;HOMBRE;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;28/03/2022;ENCONTRADO;10/06/2022
PICHINCHA;-0,3811588;-78,5036065;14;MUJER;PROBLEMAS PSICOLÓGICOS;PROBLEMAS DE CONDUCTA;09/12/2022;ENCONTRADO;25/12/2022
PICHINCHA;-0,13923642;-78,40966528;15;MUJER;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;09/09/2022;ENCONTRADO;23/09/2022
AZUAY;-2,9001285;-79,0058965;17;MUJER;PROBLEMAS FAMILIARES;MALTRATO PSICOLOGICO;14/10/2022;ENCONTRADO;22/10/2022
AZUAY;-2,914195215;-79,02917085;39;HOMBRE;PROBLEMAS SOCIALES;MIGRACION;02/09/2022;ENCONTRADO;20/10/2022
SANTO DOMINGO DE LOS TSACHILAS;-0,2521882;-79,1879383;6;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;03/07/2022;ENCONTRADO;22/10/2022
SANTO DOMINGO DE LOS TSACHILAS;-0,2521882;-79,1879383;29;MUJER;PROBLEMAS FAMILIARES;FAMILIA DISFUNSIONAL;03/07/2022;ENCONTRADO;22/10/2022
PICHINCHA;-0,234387;-78,44522;65;HOMBRE;SIN_DATO;SIN_DATO;23/06/2022;DESAPARECIDO;SIN_DATO
PICHINCHA;-0,1224086;-78,4652483;7;HOMBRE;PROBLEMAS SOCIALES;INFLUENCIA DE AMISTADES;20/10/2022;ENCONTRADO;21/10/2022
